"ID","Structure of SMILES [idcode]","SMILES","DB","Total Molweight","cLogP","H-Acceptors","H-Donors","Polar Surface Area","Rotatable Bonds"
"LANaPDB7353","fa{@P@@JswHhhiLhiULdiKPTkF\dkSUUUUUUUWLRdXnHt]Hh@","C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]1(CO)CCC[C@](C)(CO)[C@H]1C[C@H]3O","LANaPDB","334.454","1.9799","4","3","77.76","2"
"LANaPDB7354","few@p@@RMD\|bbbTTRJdtRlfSE\TyIZmUSTuUUUUUIDiFIRuKIrrjh@","C=C1C(=O)[C@@]23[C@@H](CC(=O)[C@@H]1[C@H]2O)[C@]1(C)CC[C@H](O)[C@](C)(CO)[C@H]1C[C@H]3O","LANaPDB","364.436","0.494","6","4","115.06","1"
"LANaPDB7355","ek`PN@@@NIKLambaHRHRDaHRLqHRBbLQA`SQQqpjjYjjfjijjffjaDEaJDpaIhcHx`@","C=C1C(=O)[C@@]23C(=O)[C@@H](O)[C@@H]4C(C)(C)CCC[C@@]4(C=O)[C@@H]2[C@@H](OC(C)=O)C[C@@H]1[C@H]3O","LANaPDB","404.457","0.7663","7","2","117.97","3"
"LANaPDB7356","fm@p@@JuzI\bbbdrdTVtQrRdhJSkAlehvfjjjjjjjjhVIRLWDJFehf@@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]12CCCC(C)(C)[C@H]1[C@H](O)[C@]3(O)OC2OC","LANaPDB","378.463","1.5152","6","3","96.22","1"
"LANaPDB7357","fiwAP@@JtDnQQQRYRJGQUQRTEIuoVcUkSUUUUUUUUBqJQbxcRtcDh@","C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@H]2O","LANaPDB","348.437","1.4378","5","3","86.99","0"
"LANaPDB7358","ekhPN@@@EMOHbmlbbbdrdTVtRjRdthDd\lBlRZFZZjjjjjjijjdpeDXWBDadlcbR`@","C=C1C(=O)[C@@]23[C@@H]([C@@H](OC(C)=O)C[C@@H]1[C@H]2O)[C@]12CCCC(C)(C)[C@H]1[C@H](O)[C@]3(O)OC2","LANaPDB","406.473","1.0703","7","3","113.29","2"
"LANaPDB7359","ekdPN@@@EMOHbmlbbbdrdTVtRjRdthDd\lBlR|BZFZZjjjjjjijjiLIQFEpaDYKHxdh@@","C=C1C(=O)[C@@]23[C@H]4OC5O[C@@]2(O)[C@@H](O)[C@@H]2C(C)(C)CCC[C@]52[C@@H]3[C@@H](OC(C)=O)C[C@@H]14","LANaPDB","404.457","1.2742","7","2","102.29","2"
"LANaPDB7360","fe@p@@JuzI\bbbdrdTVtRjteAR]XMd~BwkSUUUUUUUUUKDiFKbDcRt\dp@","C=C1C(=O)[C@@]23[C@H]4OC5O[C@@]2(O)[C@@H](O)[C@@H]2C(C)(C)CCC[C@]52[C@@H]3[C@@H](O)C[C@@H]14","LANaPDB","362.42","0.7896","6","3","96.22","0"
"LANaPDB7361","egdPA@@@DA@bfaclbbTbdRVbTbfbcIeBcDedUTwTsUUUUUUUUKUTiaBEPfIIEDYGExih@@","C=C1[C@@H]2C[C@H](OC(C)=O)[C@H]3[C@]45CCCC(C)(C)[C@H]4[C@H](O)[C@](O)(OC5=O)[C@@]3([C@@H]1O)[C@@H]2O","LANaPDB","422.472","0.3604","8","4","133.52","2"
"LANaPDB7362","fe@p@@JuzI\bbbdrdTVtQrReAR]XMduzt[SUUUUUUUUUKDiFKbECRtSJh@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@@]12CCC[C@@]4(C)COC1O[C@@]3(O)[C@@H](O)[C@H]42","LANaPDB","362.42","0.8069","6","3","96.22","0"
"LANaPDB7363","eglPA@@@BJHdjiclbbdTVdRdRbTWT^gDgFcdSgVSSRsUUUUUMUMSUURHSBLKaZHqNPjMH@","C=C1C(=O)[C@@]23[C@@H]([C@@H](OC(C)=O)C[C@@H]1[C@H]2O)[C@@]12CC[C@@H]4OC1O[C@@]3(O)C(=O)[C@@H]2C4(C)C","LANaPDB","418.44","0.5658","8","2","119.36","2"
"LANaPDB7364","ekhPN@@@EO@dbmlbbbdrdTQbRNRdthDd\LllbZFZZjjjZjjijjDpeDXWBDed\TT@@","C=C1C(=O)[C@@]23[C@@H]([C@@H](OC(C)=O)C[C@@H]1[C@H]2O)[C@]12CCCC(C)(C)[C@H]1C(=O)[C@]3(O)C2O","LANaPDB","404.457","0.716","7","3","121.13","2"
"LANaPDB7365","figAP@@HCfnQQJJYPjQQIYRLEIUheZuMUUTtuUKDHfKbt`@","C=C1C(=O)O[C@H]2C[C@@H]1C=C1C(=O)C(O)=C3C(C)(C)CCC[C@@]3(C=O)[C@@H]12","LANaPDB","342.39","1.4426","5","1","80.67","1"
